Design ; Data Path (ps) ;  Freq (MHz) ;  Cell Area ; Total Area ; Total Power(uW)
Signal ;10004 ; 99.96001599360255000000 ; 823.290 ; 1566.345 ; 227.43399999999999749889
Signal ;13497 ; 74.09053863821589000000 ; 640.614 ; 1078.407 ; 203.67500000000001136868
Signal ;10004 ; 99.96001599360255000000 ; 823.290 ; 1566.345 ; 227.43399999999999749889
Signal ;10004 ; 99.96001599360255000000 ; 823.290 ; 1566.345 ; 227.43399999999999749889
Signal ;10004 ; 99.96001599360255000000 ; 823.290 ; 1566.345 ; 227.43399999999999749889
Signal ;10004 ; 99.96001599360255000000 ; 823.290 ; 1566.345 ; 227.43399999999999749889
Signal ;10004 ; 99.96001599360255000000 ; 823.290 ; 1566.345 ; 227.43399999999999749889
Signal ;12958 ; 77.17240314863404000000 ; 690.662 ; 1150.384 ; 207.36899999999999977263
Signal ;9219 ; 108.47163466753443000000 ; 875.840 ; 1704.435 ; 231.61299999999999954525
Signal ;12794 ; 78.16163826793809000000 ; 681.904 ; 1168.340 ; 208.08199999999999363354
Signal ;9219 ; 108.47163466753443000000 ; 875.840 ; 1704.435 ; 231.61299999999999954525
Signal ;12577 ; 79.51021706289258000000 ; 708.179 ; 1179.561 ; 210.59099999999997976374
Signal ;12494 ; 80.03841844085160000000 ; 728.198 ; 1228.297 ; 210.78700000000000613909
Signal ;12364 ; 80.87997411840828000000 ; 713.184 ; 1228.250 ; 211.04300000000000636646
Signal ;12288 ; 81.38020833333333000000 ; 729.450 ; 1234.421 ; 212.45599999999998885869
Signal ;12191 ; 82.02772537117545000000 ; 730.701 ; 1257.514 ; 212.44900000000001227818
Signal ;12096 ; 82.67195767195767000000 ; 750.720 ; 1284.408 ; 213.14399999999997703526
Signal ;11994 ; 83.37502084375521000000 ; 753.222 ; 1305.358 ; 213.57200000000000272848
Signal ;11884 ; 84.14675193537529000000 ; 739.459 ; 1316.657 ; 214.48499999999998522071
Signal ;11798 ; 84.76012883539582000000 ; 784.502 ; 1343.252 ; 219.11700000000001864464
Signal ;11695 ; 85.50662676357417000000 ; 779.498 ; 1360.176 ; 216.27600000000001045919
Signal ;11596 ; 86.23663332183511000000 ; 761.981 ; 1357.713 ; 216.05800000000002114575
Signal ;11494 ; 87.00191404210892000000 ; 798.266 ; 1378.944 ; 218.78899999999998726707
Signal ;11399 ; 87.72699359592946000000 ; 809.526 ; 1415.353 ; 221.50700000000000500222
Signal ;11299 ; 88.50340738118417000000 ; 817.034 ; 1412.766 ; 220.98099999999999454303
Signal ;9060 ; 110.37527593818984000000 ; 880.845 ; 1716.228 ; 232.20500000000001250555
Signal ;9060 ; 110.37527593818984000000 ; 880.845 ; 1716.228 ; 232.20500000000001250555
Signal ;9060 ; 110.37527593818984000000 ; 880.845 ; 1716.228 ; 232.20500000000001250555
Signal ;9060 ; 110.37527593818984000000 ; 880.845 ; 1716.228 ; 232.20500000000001250555
Signal ;9060 ; 110.37527593818984000000 ; 880.845 ; 1716.228 ; 232.20500000000001250555
Signal ;9060 ; 110.37527593818984000000 ; 880.845 ; 1716.228 ; 232.20500000000001250555
Signal ;9060 ; 110.37527593818984000000 ; 880.845 ; 1716.228 ; 232.20500000000001250555
Signal ;9060 ; 110.37527593818984000000 ; 880.845 ; 1716.228 ; 232.20500000000001250555
Signal ;9060 ; 110.37527593818984000000 ; 880.845 ; 1716.228 ; 232.20500000000001250555
Signal ;9217 ; 108.49517196484756000000 ; 883.347 ; 1722.124 ; 232.02400000000000090949
Signal ;9217 ; 108.49517196484756000000 ; 883.347 ; 1722.124 ; 232.02400000000000090949
Signal ;9217 ; 108.49517196484756000000 ; 883.347 ; 1722.124 ; 232.02400000000000090949
Signal ;9217 ; 108.49517196484756000000 ; 883.347 ; 1722.124 ; 232.02400000000000090949
Signal ;9217 ; 108.49517196484756000000 ; 883.347 ; 1722.124 ; 232.02400000000000090949
Signal ;9217 ; 108.49517196484756000000 ; 883.347 ; 1722.124 ; 232.02400000000000090949
Signal ;9217 ; 108.49517196484756000000 ; 883.347 ; 1722.124 ; 232.02400000000000090949
Signal ;9297 ; 107.56157900397977000000 ; 883.347 ; 1725.518 ; 228.76300000000000522959
Signal ;9297 ; 107.56157900397977000000 ; 883.347 ; 1725.518 ; 228.49599999999998090061
Signal ;9239 ; 108.23682216690117000000 ; 884.598 ; 1728.422 ; 229.13200000000000500222
Signal ;9091 ; 109.99890001099989000000 ; 880.845 ; 1719.534 ; 232.34199999999998453859
Signal ;9091 ; 109.99890001099989000000 ; 880.845 ; 1719.534 ; 232.34199999999998453859
Signal ;9091 ; 109.99890001099989000000 ; 880.845 ; 1719.534 ; 232.34199999999998453859
Signal ;6036 ; 165.67263088137839000000 ; 1086.042 ; 2233.562 ; 249.97900000000001341505
Signal ;8872 ; 112.71415689810640000000 ; 888.352 ; 1715.381 ; 232.57099999999999795364
Signal ;8781 ; 113.88224575788634000000 ; 903.366 ; 1765.812 ; 234.44599999999999795364
Signal ;8681 ; 115.19410206197442000000 ; 899.613 ; 1766.932 ; 234.34899999999998954081
