Design ; Data Path (ps) ;  Freq (MHz) ;  Cell Area ; Total Area ;  Total Power(uW)
CLA ;3731.000 ; 268.02465826856070758000 ; 1702.883 ; 2454.854 ; 255.77706000000000000000
RCA ;4335.000 ; 230.68050749711649365000 ; 1502.691 ; 2589.984 ; 282.70186000000000000000
Kogge-Stone ;2795.000 ; 357.78175313059033989000 ; 2776.413 ; 3971.309 ; 360.04833000000000000000
Brent-Kung ;3209.000 ; 311.62355874104082268000 ; 1785.462 ; 2567.462 ; 263.62006000000000000000
Sklansky ;3033.000 ; 329.70656116056709528000 ; 2102.016 ; 3002.880 ; 289.05713000000000000000
Ladner-Fischer ;2863.000 ; 349.28396786587495633000 ; 1868.042 ; 2680.070 ; 269.06380000000000000000
Han-Carlson ;2836.000 ; 352.60930888575458392000 ; 2102.016 ; 3002.880 ; 291.71062000000000000000
Signal ;4340.000 ; 230.41474654377880184000 ; 1128.582 ; 1707.888 ; 246.50079000000000000000
CSkA8 ;4566.000 ; 219.01007446342531756000 ; 2701.341 ; 4444.262 ; 380.52532000000000000000
CIA ;4350.000 ; 229.88505747126436781000 ; 1218.669 ; 1782.960 ; 219.14883000000000000000
CSkA4 ;4833.000 ; 206.91082143596110076000 ; 2889.021 ; 4785.840 ; 421.03926000000000000000
CSLA8888 ;4343.000 ; 230.25558369790467418000 ; 1579.014 ; 2254.662 ; 285.28938000000000000000
CSLA56678 ;4225.000 ; 236.68639053254437869000 ; 1574.010 ; 2254.662 ; 298.33379000000000000000
CSLA66668 ;4310.000 ; 232.01856148491879350000 ; 1574.010 ; 2233.392 ; 300.98885000000000000000
