 ; Genus ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; ; Innovus ; ; ; ; Genus ; ; ; ; Innovus ; ; ; ;
Design ; Slack (ps) ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ; Cell Count ; Cell Area ; Total Area ; Cell Count ; Cell Area ; Total Cell Count ; Total Area ; Power Unit ; Power Mult ; Total Power; Total Power(uW); Power Unit ; Power Mult ; Total Power ; Total Power(uW)
Signal ;3696 ; 10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 95 ; 823.290 ; 1566.345 ; 95 ; 823.290 ; 178 ; 1186.138 ; W ; 0 ; 2.27434e-04 ; 227,43399999999999749889 ; 1mW ; -3 ; 0.21387214 ; 213.87214000000000000000
Signal ;103 ; 13497 ; 13509.000 ; 74.09053863821589000000 ; 74.02472425790213931000 ; 32 ; 640.614 ; 1078.407 ; 32 ; 643.117 ; 78 ; 922.134 ; W ; 0 ; 2.03675e-04 ; 203,67500000000001136868 ; 1mW ; -3 ; 0.19195019 ; 191.95019000000000000000
Signal ;3496 ; 10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 95 ; 823.290 ; 1566.345 ; 95 ; 823.290 ; 178 ; 1186.138 ; W ; 0 ; 2.27434e-04 ; 227,43399999999999749889 ; 1mW ; -3 ; 0.21387214 ; 213.87214000000000000000
Signal ;3396 ; 10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 95 ; 823.290 ; 1566.345 ; 95 ; 823.290 ; 178 ; 1186.138 ; W ; 0 ; 2.27434e-04 ; 227,43399999999999749889 ; 1mW ; -3 ; 0.21387214 ; 213.87214000000000000000
Signal ;3296 ; 10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 95 ; 823.290 ; 1566.345 ; 95 ; 823.290 ; 178 ; 1186.138 ; W ; 0 ; 2.27434e-04 ; 227,43399999999999749889 ; 1mW ; -3 ; 0.21387214 ; 213.87214000000000000000
Signal ;3196 ; 10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 95 ; 823.290 ; 1566.345 ; 95 ; 823.290 ; 178 ; 1186.138 ; W ; 0 ; 2.27434e-04 ; 227,43399999999999749889 ; 1mW ; -3 ; 0.21387214 ; 213.87214000000000000000
Signal ;3096 ; 10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 95 ; 823.290 ; 1566.345 ; 95 ; 823.290 ; 178 ; 1186.138 ; W ; 0 ; 2.27434e-04 ; 227,43399999999999749889 ; 1mW ; -3 ; 0.21387214 ; 213.87214000000000000000
Signal ;42 ; 12958 ; 12980.000 ; 77.17240314863404000000 ; 77.04160246533127889000 ; 37 ; 690.662 ; 1150.384 ; 37 ; 698.170 ; 100 ; 990.950 ; W ; 0 ; 2.07369e-04 ; 207,36899999999999977263 ; 1mW ; -3 ; 0.19777149 ; 197.77149000000000000000
Signal ;3681 ; 9219 ; 9352.000 ; 108.47163466753443000000 ; 106.92899914456800684000 ; 112 ; 875.840 ; 1704.435 ; 112 ; 875.840 ; 204 ; 1252.451 ; W ; 0 ; 2.31613e-04 ; 231,61299999999999954525 ; 1mW ; -3 ; 0.21839721 ; 218.39721000000000000000
Signal ;6 ; 12794 ; 12760.000 ; 78.16163826793809000000 ; 78.36990595611285266000 ; 42 ; 681.904 ; 1168.340 ; 42 ; 686.909 ; 99 ; 977.187 ; W ; 0 ; 2.08082e-04 ; 208,08199999999999363354 ; 1mW ; -3 ; 0.19651819 ; 196.51819000000000000000
Signal ;3481 ; 9219 ; 9352.000 ; 108.47163466753443000000 ; 106.92899914456800684000 ; 112 ; 875.840 ; 1704.435 ; 112 ; 875.840 ; 204 ; 1252.451 ; W ; 0 ; 2.31613e-04 ; 231,61299999999999954525 ; 1mW ; -3 ; 0.21839721 ; 218.39721000000000000000
Signal ;23 ; 12577 ; 12547.000 ; 79.51021706289258000000 ; 79.70032677133976249000 ; 39 ; 708.179 ; 1179.561 ; 39 ; 710.682 ; 102 ; 1018.477 ; W ; 0 ; 2.10591e-04 ; 210,59099999999997976374 ; 1mW ; -3 ; 0.19878033 ; 198.78033000000000000000
