 ; Genus ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; ; Innovus ; ; ; ; Genus ; ; ; ; Innovus ; ; ; ;
Design ; Slack (ps) ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ; Cell Count ; Cell Area ; Total Area ; Cell Count ; Cell Area ; Total Cell Count ; Total Area ; Power Unit ; Power Mult ; Total Power; Total Power(uW); Power Unit ; Power Mult ; Total Power ; Total Power(uW)
CLA ;722 ; 3628 ; 3731.000 ; 275.63395810363836000000 ; 268.02465826856070758000 ; 230 ; 1702.883 ; 3168.632 ; 230 ; 1702.883 ; 401 ; 2454.854 ; W ; 0 ; 2.74650e-04 ; 274,64999999999997726263 ; 1mW ; -3 ; 0.25577706 ; 255.77706000000000000000
RCA ;0 ; 4350 ; 4335.000 ; 229.88505747126436000000 ; 230.68050749711649365000 ; 301 ; 1806.733 ; 3319.994 ; 210 ; 1502.691 ; 436 ; 2589.984 ; W ; 0 ; 3.35708e-04 ; 335,70799999999996998667 ; 1mW ; -3 ; 0.28270186 ; 282.70186000000000000000
Kogge-Stone ;1925 ; 2425 ; 2795.000 ; 412.37113402061855000000 ; 357.78175313059033989000 ; 386 ; 2776.413 ; 5158.472 ; 386 ; 2776.413 ; 844 ; 3971.309 ; W ; 0 ; 3.65361e-04 ; 365,36099999999998999556 ; 1mW ; -3 ; 0.36004833 ; 360.04833000000000000000
Brent-Kung ;1301 ; 3049 ; 3209.000 ; 327.97638570022958000000 ; 311.62355874104082268000 ; 242 ; 1785.462 ; 3321.697 ; 242 ; 1785.462 ; 363 ; 2567.462 ; W ; 0 ; 2.82041e-04 ; 282,04099999999999681677 ; 1mW ; -3 ; 0.26362006 ; 263.62006000000000000000
Sklansky ;1520 ; 2830 ; 3033.000 ; 353.35689045936395000000 ; 329.70656116056709528000 ; 288 ; 2102.016 ; 3908.444 ; 288 ; 2102.016 ; 613 ; 3002.880 ; W ; 0 ; 3.09057e-04 ; 309,05700000000001637090 ; 1mW ; -3 ; 0.28905713 ; 289.05713000000000000000
Ladner-Fischer ;1618 ; 2732 ; 2863.000 ; 366.03221083455344000000 ; 349.28396786587495633000 ; 254 ; 1868.042 ; 3474.761 ; 254 ; 1868.042 ; 405 ; 2680.070 ; W ; 0 ; 2.88345e-04 ; 288,34500000000002728484 ; 1mW ; -3 ; 0.26906380 ; 269.06380000000000000000
Han-Carlson ;1786 ; 2564 ; 2836.000 ; 390.01560062402496000000 ; 352.60930888575458392000 ; 288 ; 2102.016 ; 3908.444 ; 288 ; 2102.016 ; 631 ; 3002.880 ; W ; 0 ; 3.07143e-04 ; 307,14300000000002910383 ; 1mW ; -3 ; 0.29171062 ; 291.71062000000000000000
Signal ;6 ; 4344 ; 4340.000 ; 230.20257826887661000000 ; 230.41474654377880184000 ; 208 ; 1187.389 ; 2424.887 ; 190 ; 1128.582 ; 317 ; 1707.888 ; W ; 0 ; 2.64586e-04 ; 264,58599999999995588951 ; 1mW ; -3 ; 0.24650079 ; 246.50079000000000000000
CSkA8 ;-70 ; 4420 ; 4566.000 ; 226.24434389140271000000 ; 219.01007446342531756000 ; 383 ; 3110.483 ; 5040.914 ; 281 ; 2701.341 ; 592 ; 4444.262 ; W ; 0 ; 4.67989e-04 ; 467,98899999999997589839 ; 1mW ; -3 ; 0.38052532 ; 380.52532000000000000000
CIA ;0 ; 4350 ; 4350.000 ; 229.88505747126436000000 ; 229.88505747126436781000 ; 124 ; 1247.446 ; 2150.269 ; 110 ; 1218.669 ; 216 ; 1782.960 ; W ; 0 ; 2.32231e-04 ; 232,23099999999999454303 ; 1mW ; -3 ; 0.21914883 ; 219.14883000000000000000
CSkA4 ;-395 ; 4745 ; 4833.000 ; 210.74815595363540000000 ; 206.91082143596110076000 ; 414 ; 3345.709 ; 5384.652 ; 302 ; 2889.021 ; 765 ; 4785.840 ; W ; 0 ; 5.18950e-04 ; 518,95000000000004547474 ; 1mW ; -3 ; 0.42103926 ; 421.03926000000000000000
CSLA8888 ;1 ; 4349 ; 4343.000 ; 229.93791676247413000000 ; 230.25558369790467418000 ; 115 ; 1570.256 ; 2509.627 ; 111 ; 1579.014 ; 249 ; 2254.662 ; W ; 0 ; 3.05752e-04 ; 305,75200000000000954969 ; 1mW ; -3 ; 0.28528938 ; 285.28938000000000000000
CSLA56678 ;12 ; 4338 ; 4225.000 ; 230.52097740894421000000 ; 236.68639053254437869000 ; 105 ; 1577.763 ; 2488.418 ; 97 ; 1574.010 ; 244 ; 2254.662 ; W ; 0 ; 3.14360e-04 ; 314,36000000000001364242 ; 1mW ; -3 ; 0.29833379 ; 298.33379000000000000000
CSLA66668 ;2 ; 4348 ; 4310.000 ; 229.99080036798528000000 ; 232.01856148491879350000 ; 117 ; 1556.493 ; 2524.058 ; 117 ; 1574.010 ; 257 ; 2233.392 ; W ; 0 ; 3.16568e-04 ; 316,56799999999998362910 ; 1mW ; -3 ; 0.30098885 ; 300.98885000000000000000
