 ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; Innovus ; ; Genus ; Innovus 
Design ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ;  Cell Area ; Total Area ; Cell Area ; Total Area ; Total Power(uW); Total Power(uW)
CLA ;3628 ; 3731.000 ; 275.63395810363836000000 ; 268.02465826856070758000 ; 1702.883 ; 3168.632 ; 1702.883 ; 2454.854 ; 274,64999999999997726263 ; 255.77706000000000000000
RCA ;4350 ; 4335.000 ; 229.88505747126436000000 ; 230.68050749711649365000 ; 1806.733 ; 3319.994 ; 1502.691 ; 2589.984 ; 335,70799999999996998667 ; 282.70186000000000000000
Kogge-Stone ;2425 ; 2795.000 ; 412.37113402061855000000 ; 357.78175313059033989000 ; 2776.413 ; 5158.472 ; 2776.413 ; 3971.309 ; 365,36099999999998999556 ; 360.04833000000000000000
Brent-Kung ;3049 ; 3209.000 ; 327.97638570022958000000 ; 311.62355874104082268000 ; 1785.462 ; 3321.697 ; 1785.462 ; 2567.462 ; 282,04099999999999681677 ; 263.62006000000000000000
Sklansky ;2830 ; 3033.000 ; 353.35689045936395000000 ; 329.70656116056709528000 ; 2102.016 ; 3908.444 ; 2102.016 ; 3002.880 ; 309,05700000000001637090 ; 289.05713000000000000000
Ladner-Fischer ;2732 ; 2863.000 ; 366.03221083455344000000 ; 349.28396786587495633000 ; 1868.042 ; 3474.761 ; 1868.042 ; 2680.070 ; 288,34500000000002728484 ; 269.06380000000000000000
Han-Carlson ;2564 ; 2836.000 ; 390.01560062402496000000 ; 352.60930888575458392000 ; 2102.016 ; 3908.444 ; 2102.016 ; 3002.880 ; 307,14300000000002910383 ; 291.71062000000000000000
Signal ;4344 ; 4340.000 ; 230.20257826887661000000 ; 230.41474654377880184000 ; 1187.389 ; 2424.887 ; 1128.582 ; 1707.888 ; 264,58599999999995588951 ; 246.50079000000000000000
CSkA8 ;4420 ; 4566.000 ; 226.24434389140271000000 ; 219.01007446342531756000 ; 3110.483 ; 5040.914 ; 2701.341 ; 4444.262 ; 467,98899999999997589839 ; 380.52532000000000000000
CIA ;4350 ; 4350.000 ; 229.88505747126436000000 ; 229.88505747126436781000 ; 1247.446 ; 2150.269 ; 1218.669 ; 1782.960 ; 232,23099999999999454303 ; 219.14883000000000000000
CSkA4 ;4745 ; 4833.000 ; 210.74815595363540000000 ; 206.91082143596110076000 ; 3345.709 ; 5384.652 ; 2889.021 ; 4785.840 ; 518,95000000000004547474 ; 421.03926000000000000000
CSLA8888 ;4349 ; 4343.000 ; 229.93791676247413000000 ; 230.25558369790467418000 ; 1570.256 ; 2509.627 ; 1579.014 ; 2254.662 ; 305,75200000000000954969 ; 285.28938000000000000000
CSLA56678 ;4338 ; 4225.000 ; 230.52097740894421000000 ; 236.68639053254437869000 ; 1577.763 ; 2488.418 ; 1574.010 ; 2254.662 ; 314,36000000000001364242 ; 298.33379000000000000000
CSLA66668 ;4348 ; 4310.000 ; 229.99080036798528000000 ; 232.01856148491879350000 ; 1556.493 ; 2524.058 ; 1574.010 ; 2233.392 ; 316,56799999999998362910 ; 300.98885000000000000000
