 ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; Innovus ; ; Genus ; Innovus 
Design ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ;  Cell Area ; Total Area ; Cell Area ; Total Area ; Total Power(uW); Total Power(uW)
CLA ;1954 ; 1953.000 ; 511.77072671443193000000 ; 512.03277009728622631000 ; 2956.586 ; 5384.939 ; 2880.262 ; 4230.307 ; 381,18599999999997862687 ; 349.63934000000000000000
RCA ;4350 ; 4335.000 ; 229.88505747126436000000 ; 230.68050749711649365000 ; 1806.733 ; 3319.994 ; 1502.691 ; 2589.984 ; 335,70799999999996998667 ; 282.70186000000000000000
Kogge-Stone ;2092 ; 2092.000 ; 478.01147227533460000000 ; 478.01147227533460803000 ; 3131.754 ; 5707.169 ; 3280.646 ; 4474.291 ; 397,53600000000000136424 ; 423.47954000000000000000
Brent-Kung ;2115 ; 2114.000 ; 472.81323877068557000000 ; 473.03689687795648060000 ; 2469.869 ; 4477.746 ; 2453.603 ; 3547.152 ; 344,06200000000001182343 ; 318.44749000000000000000
Sklansky ;1973 ; 1972.000 ; 506.84237202230106000000 ; 507.09939148073022312000 ; 2812.698 ; 5022.894 ; 2852.736 ; 4028.864 ; 371,26800000000002910383 ; 353.16595000000000000000
Ladner-Fischer ;1944 ; 1944.000 ; 514.40329218106995000000 ; 514.40329218106995884000 ; 2841.475 ; 5084.913 ; 2786.422 ; 4086.419 ; 369,31399999999996452971 ; 337.88308000000000000000
Han-Carlson ;2130 ; 2130.000 ; 469.48356807511737000000 ; 469.48356807511737089000 ; 2763.901 ; 5036.838 ; 2797.683 ; 3971.309 ; 350,85500000000001818989 ; 346.95066000000000000000
Signal ;1390 ; 1390.000 ; 719.42446043165467000000 ; 719.42446043165467625000 ; 2747.635 ; 5267.185 ; 2802.688 ; 3942.531 ; 415,29000000000002046363 ; 393.83424000000000000000
CSkA8 ;4755 ; 4753.000 ; 210.30494216614090000000 ; 210.39343572480538607000 ; 2333.488 ; 4217.015 ; 1944.365 ; 3336.950 ; 375,48200000000002773959 ; 306.53452000000000000000
CIA ;1848 ; 1848.000 ; 541.12554112554112000000 ; 541.12554112554112554000 ; 3204.323 ; 5714.649 ; 2992.870 ; 4594.406 ; 474,70699999999999363354 ; 437.02115000000000000000
CSkA4 ;5013 ; 5014.000 ; 199.48134849391581000000 ; 199.44156362185879537000 ; 2337.242 ; 4234.257 ; 1983.152 ; 3363.226 ; 391,87400000000002364686 ; 320.19284000000000000000
CSLA8888 ;2099 ; 2096.000 ; 476.41734159123392000000 ; 477.09923664122137404000 ; 3094.218 ; 5425.197 ; 2932.813 ; 4444.262 ; 550,78200000000003910827 ; 509.57416000000000000000
CSLA56678 ;1872 ; 1872.000 ; 534.18803418803418000000 ; 534.18803418803418803000 ; 3345.709 ; 6041.907 ; 2910.291 ; 4785.840 ; 579,79800000000000181899 ; 500.27948000000000000000
CSLA66668 ;1959 ; 1956.000 ; 510.46452271567126000000 ; 511.24744376278118609000 ; 2979.107 ; 5249.347 ; 2803.939 ; 4259.085 ; 508,05999999999994543032 ; 456.82476000000000000000
