 ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; Innovus ; ; Genus ; Innovus 
Design ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ;  Cell Area ; Total Area ; Cell Area ; Total Area ; Total Power(uW); Total Power(uW)
CLA ;3628 ; 3730.000 ; 275.63395810363836000000 ; 268.09651474530831099000 ; 1702.883 ; 3168.632 ; 1702.883 ; 2454.854 ; 274,64999999999997726263 ; 255.85732000000000000000
RCA ;13101 ; 13248.000 ; 76.33005114113426000000 ; 75.48309178743961352000 ; 620.595 ; 1054.994 ; 620.595 ; 888.352 ; 197,02700000000001523404 ; 185.72079000000000000000
Kogge-Stone ;2425 ; 2795.000 ; 412.37113402061855000000 ; 357.78175313059033989000 ; 2776.413 ; 5158.472 ; 2776.413 ; 3971.309 ; 365,36099999999998999556 ; 360.04833000000000000000
Brent-Kung ;3049 ; 3209.000 ; 327.97638570022958000000 ; 311.62355874104082268000 ; 1785.462 ; 3321.697 ; 1785.462 ; 2567.462 ; 282,04099999999999681677 ; 263.62006000000000000000
Sklansky ;2830 ; 3033.000 ; 353.35689045936395000000 ; 329.70656116056709528000 ; 2102.016 ; 3908.444 ; 2102.016 ; 3002.880 ; 309,05700000000001637090 ; 289.05713000000000000000
Ladner-Fischer ;2732 ; 2863.000 ; 366.03221083455344000000 ; 349.28396786587495633000 ; 1868.042 ; 3474.761 ; 1868.042 ; 2680.070 ; 288,34500000000002728484 ; 269.06380000000000000000
Han-Carlson ;2564 ; 2836.000 ; 390.01560062402496000000 ; 352.60930888575458392000 ; 2102.016 ; 3908.444 ; 2102.016 ; 3002.880 ; 307,14300000000002910383 ; 291.71062000000000000000
Signal ;13497 ; 13611.000 ; 74.09053863821589000000 ; 73.46998751010212328000 ; 640.614 ; 1078.407 ; 640.614 ; 922.134 ; 203,67500000000001136868 ; 191.08905000000000000000
CSkA8 ;14274 ; 14450.000 ; 70.05744710662743000000 ; 69.20415224913494809000 ; 1030.989 ; 1744.110 ; 1030.989 ; 1488.928 ; 231,95900000000000318323 ; 208.89040000000000000000
CIA ;8674 ; 8711.000 ; 115.28706479133041000000 ; 114.79738261967627138000 ; 982.192 ; 1633.791 ; 982.192 ; 1415.107 ; 195,71799999999998931344 ; 184.04587000000000000000
CSkA4 ;14995 ; 15185.000 ; 66.68889629876625000000 ; 65.85446163977609483000 ; 1030.989 ; 1750.723 ; 1030.989 ; 1488.928 ; 243,75199999999998112798 ; 221.64275000000000000000
CSLA8888 ;5719 ; 5954.000 ; 174.85574401119076000000 ; 167.95431642593214645000 ; 1385.078 ; 2206.364 ; 1385.078 ; 1981.901 ; 287,65000000000003410605 ; 268.09576000000000000000
CSLA56678 ;5146 ; 5429.000 ; 194.32568985619898000000 ; 184.19598452753729968000 ; 1476.416 ; 2349.826 ; 1476.416 ; 2122.035 ; 305,31700000000000727596 ; 283.16695000000000000000
CSLA66668 ;5423 ; 5678.000 ; 184.39977872026553000000 ; 176.11835153222965833000 ; 1445.136 ; 2303.405 ; 1445.136 ; 2081.997 ; 300,71199999999998908606 ; 278.35384000000000000000
