 ; Genus ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; ; Innovus ; ; ; ; Genus ; ; ; ; Innovus ; ; ; ;
Design ; Slack (ps) ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ; Cell Count ; Cell Area ; Total Area ; Cell Count ; Cell Area ; Total Cell Count ; Total Area ; Power Unit ; Power Mult ; Total Power; Total Power(uW); Power Unit ; Power Mult ; Total Power ; Total Power(uW)
CLA ;196372 ; 3628 ; 3730.000 ; 275.63395810363836000000 ; 268.09651474530831099000 ; 230 ; 1702.883 ; 3168.632 ; 230 ; 1702.883 ; 401 ; 2454.854 ; W ; 0 ; 2.74650e-04 ; 274,64999999999997726263 ; 1mW ; -3 ; 0.25585732 ; 255.85732000000000000000
RCA ;186899 ; 13101 ; 13248.000 ; 76.33005114113426000000 ; 75.48309178743961352000 ; 31 ; 620.595 ; 1054.994 ; 31 ; 620.595 ; 87 ; 888.352 ; W ; 0 ; 1.97027e-04 ; 197,02700000000001523404 ; 1mW ; -3 ; 0.18572079 ; 185.72079000000000000000
Kogge-Stone ;197575 ; 2425 ; 2795.000 ; 412.37113402061855000000 ; 357.78175313059033989000 ; 386 ; 2776.413 ; 5158.472 ; 386 ; 2776.413 ; 844 ; 3971.309 ; W ; 0 ; 3.65361e-04 ; 365,36099999999998999556 ; 1mW ; -3 ; 0.36004833 ; 360.04833000000000000000
Brent-Kung ;196951 ; 3049 ; 3209.000 ; 327.97638570022958000000 ; 311.62355874104082268000 ; 242 ; 1785.462 ; 3321.697 ; 242 ; 1785.462 ; 363 ; 2567.462 ; W ; 0 ; 2.82041e-04 ; 282,04099999999999681677 ; 1mW ; -3 ; 0.26362006 ; 263.62006000000000000000
Sklansky ;197170 ; 2830 ; 3033.000 ; 353.35689045936395000000 ; 329.70656116056709528000 ; 288 ; 2102.016 ; 3908.444 ; 288 ; 2102.016 ; 613 ; 3002.880 ; W ; 0 ; 3.09057e-04 ; 309,05700000000001637090 ; 1mW ; -3 ; 0.28905713 ; 289.05713000000000000000
Ladner-Fischer ;197268 ; 2732 ; 2863.000 ; 366.03221083455344000000 ; 349.28396786587495633000 ; 254 ; 1868.042 ; 3474.761 ; 254 ; 1868.042 ; 405 ; 2680.070 ; W ; 0 ; 2.88345e-04 ; 288,34500000000002728484 ; 1mW ; -3 ; 0.26906380 ; 269.06380000000000000000
Han-Carlson ;197436 ; 2564 ; 2836.000 ; 390.01560062402496000000 ; 352.60930888575458392000 ; 288 ; 2102.016 ; 3908.444 ; 288 ; 2102.016 ; 631 ; 3002.880 ; W ; 0 ; 3.07143e-04 ; 307,14300000000002910383 ; 1mW ; -3 ; 0.29171062 ; 291.71062000000000000000
Signal ;186503 ; 13497 ; 13611.000 ; 74.09053863821589000000 ; 73.46998751010212328000 ; 32 ; 640.614 ; 1078.407 ; 32 ; 640.614 ; 80 ; 922.134 ; W ; 0 ; 2.03675e-04 ; 203,67500000000001136868 ; 1mW ; -3 ; 0.19108905 ; 191.08905000000000000000
CSkA8 ;185726 ; 14274 ; 14450.000 ; 70.05744710662743000000 ; 69.20415224913494809000 ; 80 ; 1030.989 ; 1744.110 ; 80 ; 1030.989 ; 184 ; 1488.928 ; W ; 0 ; 2.31959e-04 ; 231,95900000000000318323 ; 1mW ; -3 ; 0.20889040 ; 208.89040000000000000000
CIA ;191326 ; 8674 ; 8711.000 ; 115.28706479133041000000 ; 114.79738261967627138000 ; 67 ; 982.192 ; 1633.791 ; 67 ; 982.192 ; 177 ; 1415.107 ; W ; 0 ; 1.95718e-04 ; 195,71799999999998931344 ; 1mW ; -3 ; 0.18404587 ; 184.04587000000000000000
CSkA4 ;185005 ; 14995 ; 15185.000 ; 66.68889629876625000000 ; 65.85446163977609483000 ; 80 ; 1030.989 ; 1750.723 ; 80 ; 1030.989 ; 190 ; 1488.928 ; W ; 0 ; 2.43752e-04 ; 243,75199999999998112798 ; 1mW ; -3 ; 0.22164275 ; 221.64275000000000000000
CSLA8888 ;194281 ; 5719 ; 5954.000 ; 174.85574401119076000000 ; 167.95431642593214645000 ; 86 ; 1385.078 ; 2206.364 ; 86 ; 1385.078 ; 214 ; 1981.901 ; W ; 0 ; 2.87650e-04 ; 287,65000000000003410605 ; 1mW ; -3 ; 0.26809576 ; 268.09576000000000000000
CSLA56678 ;194854 ; 5146 ; 5429.000 ; 194.32568985619898000000 ; 184.19598452753729968000 ; 94 ; 1476.416 ; 2349.826 ; 94 ; 1476.416 ; 226 ; 2122.035 ; W ; 0 ; 3.05317e-04 ; 305,31700000000000727596 ; 1mW ; -3 ; 0.28316695 ; 283.16695000000000000000
CSLA66668 ;194577 ; 5423 ; 5678.000 ; 184.39977872026553000000 ; 176.11835153222965833000 ; 92 ; 1445.136 ; 2303.405 ; 92 ; 1445.136 ; 230 ; 2081.997 ; W ; 0 ; 3.00712e-04 ; 300,71199999999998908606 ; 1mW ; -3 ; 0.27835384 ; 278.35384000000000000000
