 ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; Innovus ; ; Genus ; Innovus 
Design ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ;  Cell Area ; Total Area ; Cell Area ; Total Area ; Total Power(uW); Total Power(uW)
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9060 ; 9125.000 ; 110.37527593818984000000 ; 109.58904109589041095000 ; 880.845 ; 1716.228 ; 880.845 ; 1268.717 ; 232,20500000000001250555 ; 218.96933000000000000000
Signal ;9217 ; 9245.000 ; 108.49517196484756000000 ; 108.16657652785289345000 ; 883.347 ; 1722.124 ; 883.347 ; 1268.717 ; 232,02400000000000090949 ; 218.73102000000000000000
Signal ;9217 ; 9245.000 ; 108.49517196484756000000 ; 108.16657652785289345000 ; 883.347 ; 1722.124 ; 883.347 ; 1268.717 ; 232,02400000000000090949 ; 218.73102000000000000000
Signal ;9217 ; 9245.000 ; 108.49517196484756000000 ; 108.16657652785289345000 ; 883.347 ; 1722.124 ; 883.347 ; 1268.717 ; 232,02400000000000090949 ; 218.73102000000000000000
Signal ;9217 ; 9245.000 ; 108.49517196484756000000 ; 108.16657652785289345000 ; 883.347 ; 1722.124 ; 883.347 ; 1268.717 ; 232,02400000000000090949 ; 218.73102000000000000000
Signal ;9217 ; 9245.000 ; 108.49517196484756000000 ; 108.16657652785289345000 ; 883.347 ; 1722.124 ; 883.347 ; 1268.717 ; 232,02400000000000090949 ; 218.73102000000000000000
Signal ;9217 ; 9245.000 ; 108.49517196484756000000 ; 108.16657652785289345000 ; 883.347 ; 1722.124 ; 883.347 ; 1268.717 ; 232,02400000000000090949 ; 218.73102000000000000000
Signal ;9217 ; 9245.000 ; 108.49517196484756000000 ; 108.16657652785289345000 ; 883.347 ; 1722.124 ; 883.347 ; 1268.717 ; 232,02400000000000090949 ; 218.73102000000000000000
Signal ;9297 ; 9235.000 ; 107.56157900397977000000 ; 108.28370330265295073000 ; 883.347 ; 1725.518 ; 883.347 ; 1268.717 ; 228,76300000000000522959 ; 214.56614000000000000000
Signal ;9297 ; 9234.000 ; 107.56157900397977000000 ; 108.29542993285683344000 ; 883.347 ; 1725.518 ; 883.347 ; 1268.717 ; 228,49599999999998090061 ; 214.27133000000000000000
Signal ;9239 ; 9283.000 ; 108.23682216690117000000 ; 107.72379618657761499000 ; 884.598 ; 1728.422 ; 884.598 ; 1268.717 ; 229,13200000000000500222 ; 215.43615000000000000000
Signal ;9091 ; 9210.000 ; 109.99890001099989000000 ; 108.57763300760043431000 ; 880.845 ; 1719.534 ; 880.845 ; 1268.717 ; 232,34199999999998453859 ; 219.70014000000000000000
Signal ;9091 ; 9197.000 ; 109.99890001099989000000 ; 108.73110796999021420000 ; 880.845 ; 1719.534 ; 880.845 ; 1268.717 ; 232,34199999999998453859 ; 219.49923000000000000000
Signal ;9091 ; 9052.000 ; 109.99890001099989000000 ; 110.47282368537339814000 ; 880.845 ; 1719.534 ; 888.352 ; 1268.717 ; 232,34199999999998453859 ; 221.04503000000000000000
Signal ;6036 ; 6063.000 ; 165.67263088137839000000 ; 164.93485073396008576000 ; 1086.042 ; 2233.562 ; 1086.042 ; 1558.995 ; 249,97900000000001341505 ; 236.14824000000000000000
Signal ;8872 ; 8895.000 ; 112.71415689810640000000 ; 112.42270938729623383000 ; 888.352 ; 1715.381 ; 888.352 ; 1284.982 ; 232,57099999999999795364 ; 218.63153000000000000000
Signal ;8781 ; 8716.000 ; 113.88224575788634000000 ; 114.73152822395594309000 ; 903.366 ; 1765.812 ; 888.352 ; 1301.248 ; 234,44599999999999795364 ; 217.98265000000000000000
Signal ;8681 ; 8633.000 ; 115.19410206197442000000 ; 115.83458820803892042000 ; 899.613 ; 1766.932 ; 902.115 ; 1301.248 ; 234,34899999999998954081 ; 221.36528000000000000000
Signal ;6012 ; 6095.000 ; 166.33399866932801000000 ; 164.06890894175553732000 ; 1093.549 ; 2244.376 ; 1093.549 ; 1576.512 ; 252,46099999999998431122 ; 238.90749000000000000000
Signal ;6274 ; 6306.000 ; 159.38795027095951000000 ; 158.57913098636219473000 ; 1083.539 ; 2230.972 ; 1083.539 ; 1558.995 ; 252,48399999999998044586 ; 238.07573000000000000000
Signal ;6274 ; 6306.000 ; 159.38795027095951000000 ; 158.57913098636219473000 ; 1083.539 ; 2230.972 ; 1083.539 ; 1558.995 ; 252,48399999999998044586 ; 238.07573000000000000000
Signal ;6198 ; 6346.000 ; 161.34236850596966000000 ; 157.57957768673179955000 ; 1106.061 ; 2258.541 ; 1106.061 ; 1594.029 ; 252,03299999999998703970 ; 238.85496000000000000000
Signal ;5915 ; 6008.000 ; 169.06170752324598000000 ; 166.44474034620505992000 ; 1106.061 ; 2256.801 ; 1106.061 ; 1594.029 ; 252,01100000000002410161 ; 239.27663000000000000000
Signal ;5915 ; 6008.000 ; 169.06170752324598000000 ; 166.44474034620505992000 ; 1106.061 ; 2256.801 ; 1106.061 ; 1594.029 ; 252,01100000000002410161 ; 239.27663000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
